,name,party,state,district,context,le,eg
494,"Claude """"Buddy"""" Leach",democrat,Louisiana,4,candidate,"[{'year': 1978, 'le': 0.010792597}]","[{'year': 1978, 'eg': 0.4979755538579068}]"
495,John Breaux,democrat,Louisiana,7,candidate,"[{'year': 1978, 'le': 2.1070758169999997}, {'year': 1980, 'le': 8.584772723}]","[{'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}]"
496,Olympia J. Snowe,republican,Maine,2,candidate,"[{'year': 1978, 'le': 0.164618061}, {'year': 1980, 'le': 0.11307743099999999}, {'year': 1982, 'le': 0.237389386}, {'year': 1984, 'le': 0.39597835299999995}, {'year': 1986, 'le': 0.7356482740000001}, {'year': 1988, 'le': 0.803838313}, {'year': 1990, 'le': 1.21634617}, {'year': 1992, 'le': 0.69143511}]","[{'year': 1978, 'eg': 0.4003276755838347}, {'year': 1980, 'eg': -0.07014167312422089}, {'year': 1982, 'eg': 0.167012773293629}, {'year': 1984, 'eg': -0.03125430995417164}, {'year': 1986, 'eg': -0.04655218116706601}, {'year': 1988, 'eg': 0.17601030385286542}, {'year': 1990, 'eg': 0.4794358591660308}, {'year': 1992, 'eg': 0.4287262428837021}]"
497,Beverly B. Byron,democrat,Maryland,6,candidate,"[{'year': 1978, 'le': 0.249197415}, {'year': 1980, 'le': 0.07374615}, {'year': 1982, 'le': 0.295853913}, {'year': 1984, 'le': 0.704798906}, {'year': 1986, 'le': 2.761938334}, {'year': 1988, 'le': 0.7113056179999999}, {'year': 1990, 'le': 1.961313289}]","[{'year': 1978, 'eg': -0.29330117023468644}, {'year': 1980, 'eg': 0.10200273665878841}, {'year': 1982, 'eg': 0.012213867761044687}, {'year': 1984, 'eg': 0.19739550891565757}, {'year': 1986, 'eg': 0.055504120638260566}, {'year': 1988, 'eg': -0.007156059489969767}, {'year': 1990, 'eg': 0.19308078855817548}]"
498,Michael D. Barnes,democrat,Maryland,8,candidate,"[{'year': 1978, 'le': 0.525214637}, {'year': 1980, 'le': 0.588848391}, {'year': 1982, 'le': 1.240041375}, {'year': 1984, 'le': 0.167300625}]","[{'year': 1978, 'eg': 0.47467712234902104}, {'year': 1980, 'eg': 0.3134061449831973}, {'year': 1982, 'eg': 0.0731553691019564}, {'year': 1984, 'eg': 0.06306148824090914}]"
499,Silvio Conte,republican,Massachusetts,1,candidate,"[{'year': 1978, 'le': 0.47271573}]","[{'year': 1978, 'eg': -0.498893251868585}]"
500,James M. Shannon,democrat,Massachusetts,5,candidate,"[{'year': 1978, 'le': 0.695864499}, {'year': 1980, 'le': 0.739010938}, {'year': 1982, 'le': 2.321820974}]","[{'year': 1978, 'eg': 0.2598461903741581}, {'year': 1980, 'eg': 0.18064016669801902}, {'year': 1982, 'eg': -0.3464836531842172}]"
501,Nicholas Mavroules,democrat,Massachusetts,6,candidate,"[{'year': 1978, 'le': 0.023743712}, {'year': 1980, 'le': 0.115535636}, {'year': 1982, 'le': 0.218353868}, {'year': 1984, 'le': 0.6401030010000001}, {'year': 1986, 'le': 2.43904829}, {'year': 1988, 'le': 0.5956341620000001}, {'year': 1990, 'le': 0.291355742}]","[{'year': 1978, 'eg': 0.4247861828448061}, {'year': 1980, 'eg': 0.46260096598968337}, {'year': 1982, 'eg': 0.3434405454259667}, {'year': 1984, 'eg': 0.060615733844080304}, {'year': 1986, 'eg': -0.25444434209920325}, {'year': 1988, 'eg': 0.1061583819153399}, {'year': 1990, 'eg': 0.21786214414318783}]"
502,Thomas P. O'Neill Jr.,democrat,Massachusetts,8,candidate,"[{'year': 1978, 'le': 0.0}, {'year': 1980, 'le': 0.0}, {'year': 1984, 'le': 0.0}]","[{'year': 1978, 'eg': -0.03745764197242346}, {'year': 1980, 'eg': -0.06772625667700066}, {'year': 1984, 'eg': -0.41826812472201347}]"
503,John J. Moakley,democrat,Massachusetts,9,candidate,"[{'year': 1978, 'le': 0.618030968}]","[{'year': 1978, 'eg': -0.41804913269954785}]"
504,Margaret Heckler,republican,Massachusetts,10,candidate,"[{'year': 1978, 'le': 0.705321855}]","[{'year': 1978, 'eg': 0.27712225303521265}]"
505,Brian J. Donnelly,democrat,Massachusetts,11,candidate,"[{'year': 1978, 'le': 1.024527043}, {'year': 1980, 'le': 0.554559522}, {'year': 1982, 'le': 0.34643477200000006}, {'year': 1984, 'le': 0.203329987}, {'year': 1986, 'le': 0.588256836}, {'year': 1988, 'le': 2.6988151069999997}, {'year': 1990, 'le': 0.79050201}]","[{'year': 1978, 'eg': -0.41710929029247473}, {'year': 1980, 'eg': -0.49958431178074997}, {'year': 1982, 'eg': -0.49981964108576066}, {'year': 1984, 'eg': -0.49990699026304314}, {'year': 1986, 'eg': -0.2703109395212912}, {'year': 1988, 'eg': -0.11629235956340363}, {'year': 1990, 'eg': -0.20572569260845733}]"
506,John Conyers,democrat,Michigan,1,candidate,"[{'year': 1978, 'le': 0.609447008}]","[{'year': 1978, 'eg': -0.35745809419223834}]"
507,Howard Wolpe,democrat,Michigan,3,candidate,"[{'year': 1978, 'le': 0.012951116}, {'year': 1980, 'le': 0.10638829400000001}, {'year': 1982, 'le': 0.259599447}, {'year': 1984, 'le': 0.064695905}, {'year': 1986, 'le': 0.435447276}, {'year': 1988, 'le': 1.12274909}, {'year': 1990, 'le': 0.095077484}]","[{'year': 1978, 'eg': 0.4733410800562657}, {'year': 1980, 'eg': 0.45176023623133743}, {'year': 1982, 'eg': 0.36318990933990847}, {'year': 1984, 'eg': 0.44140857949349976}, {'year': 1986, 'eg': 0.2926303680981595}, {'year': 1988, 'eg': 0.3531635900700191}, {'year': 1990, 'eg': 0.3429103167357258}]"
