,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,winner,wasted_votes,eg,le
1,1976,Alabama,AL,1,63,41,US House,1,gen,False,False,Jack Edwards,republican,False,total,98257,157170.0,False,20171005,1,19673.0,0.12316097375756922,0.481489182
5,1976,Alabama,AL,1,63,41,US House,2,gen,False,False,"William L. """"Bill"""" Dickinson",republican,False,total,90069,156362.0,False,20171005,1,11889.0,0.12316097375756922,0.020175051
6,1976,Alabama,AL,1,63,41,US House,3,gen,False,False,Bill Nichols,democrat,False,total,106935,108048.0,False,20171005,1,52912.0,-0.12316097375756922,0.300772637
9,1976,Alabama,AL,1,63,41,US House,4,gen,False,False,Tom Bevill,democrat,False,total,141490,176022.0,False,20171005,1,53480.0,-0.004448596146701343,9.415657997
12,1976,Alabama,AL,1,63,41,US House,5,gen,False,False,Ronnie G. Flippo,democrat,False,total,113553,113560.0,False,20171005,1,56774.0,-0.02072914026513975,0.315449327
16,1976,Alabama,AL,1,63,41,US House,6,gen,False,False,"John H. Buchanan, Jr.",democrat,False,total,92113,162518.0,False,20171005,1,10855.0,-0.0035405894389381114,5.170519829
17,1976,Alabama,AL,1,63,41,US House,7,gen,False,False,Walter Flowers,republican,False,total,110496,110501.0,False,20171005,1,55246.5,0.0035405894389381114,0.22823026800000001
19,1976,Alaska,AK,2,94,81,US House,0,gen,False,False,Don Young,democrat,False,total,83722,118208.0,False,20171005,1,24619.0,-0.0035405894389381114,7.103451729
23,1976,Arizona,AZ,4,86,61,US House,1,gen,False,False,John J. Rhodes,democrat,False,total,96397,168119.0,False,20171005,1,12338.5,-0.0035405894389381114,1.228690863
28,1976,Arizona,AZ,4,86,61,US House,2,gen,False,False,Morris K. Udall,democrat,False,total,106054,182128.0,False,20171005,1,14991.0,-0.0035405894389381114,1.473155141
30,1976,Arizona,AZ,4,86,61,US House,3,gen,False,False,Bob Stump,democrat,False,total,88854,187165.0,False,20171005,1,-4727.5,-0.0035405894389381114,1.416298509
33,1976,Arizona,AZ,4,86,61,US House,4,gen,False,False,Eldon Rudd,republican,False,total,93154,191590.0,False,20171005,1,-2640.0,0.0035405894389381114,0.8467679020000001
36,1976,Arkansas,AR,5,71,42,US House,1,gen,False,False,Bill Alexander,democrat,False,total,116217,168782.0,False,20171005,1,31827.0,-0.0035405894389381114,4.796281815
37,1976,Arkansas,AR,5,71,42,US House,2,gen,False,False,Jim Guy Tucker,republican,False,total,144780,167607.0,False,20171005,1,60977.5,0.0035405894389381114,0.325922787
40,1976,Arkansas,AR,5,71,42,US House,3,gen,False,False,John Paul Hammerschmidt,democrat,False,total,1,1.0,False,20171005,1,1.5,-0.0035405894389381114,0.44132924100000004
41,1976,Arkansas,AR,5,71,42,US House,4,gen,False,False,Ray Thornton,republican,False,total,1,1.0,False,20171005,1,1.5,0.0035405894389381114,0.200703725
43,1976,California,CA,6,93,71,US House,1,gen,False,False,Harold T. (Bizz) Johnson,democrat,False,total,160477,217016.0,False,20171005,1,51970.0,-0.0035405894389381114,0.9617174270000001
46,1976,California,CA,6,93,71,US House,2,gen,False,False,Don H. Clausen,republican,False,total,121290,216563.0,False,20171005,1,13009.5,-0.0035405894389381114,nan
48,1976,California,CA,6,93,71,US House,3,gen,False,False,John E. Moss,republican,False,total,139779,191854.0,False,20171005,1,43853.0,0.0035405894389381114,0.063047037
50,1976,California,CA,6,93,71,US House,4,gen,False,False,Robert L. Leggett,democrat,False,total,75844,151037.0,False,20171005,1,326.5,-0.0035405894389381114,0.158878535
52,1976,California,CA,6,93,71,US House,5,gen,False,False,John L. Burton,republican,False,total,103746,167754.0,False,20171005,1,19870.0,0.0035405894389381114,0.68138659
56,1976,California,CA,6,93,71,US House,6,gen,False,False,Phillip Burton,republican,False,total,86493,130916.0,False,20171005,1,21036.0,0.0035405894389381114,0.757075012
58,1976,California,CA,6,93,71,US House,7,gen,False,False,George Miller,republican,False,total,147064,196816.0,False,20171005,1,48657.0,0.0035405894389381114,0.218356892
62,1976,California,CA,6,93,71,US House,8,gen,False,False,Ronald V. Dellums,republican,False,total,122342,196954.0,False,20171005,1,23866.0,-0.05610783506089025,1.255191207
63,1976,California,CA,6,93,71,US House,9,gen,False,False,Fortney H. (Pete) Stark,republican,False,total,116398,164391.0,False,20171005,1,34203.5,-0.05610783506089025,0.10087525800000001
68,1976,California,CA,6,93,71,US House,10,gen,False,False,Don Edwards,republican,False,total,111992,155443.0,False,20171005,1,34271.5,-0.03316583080729384,0.180314526
69,1976,California,CA,6,93,71,US House,11,gen,False,False,Leo J. Ryan,democrat,False,total,107618,176194.0,False,20171005,1,19522.0,0.03316583080729384,0.529671669
74,1976,California,CA,6,93,71,US House,12,gen,False,False,"Paul N. """"Pete"""" McCloskey, Jr.",democrat,False,total,130332,196857.0,False,20171005,1,31904.5,-0.04841333925857102,0.314188391
77,1976,California,CA,6,93,71,US House,13,gen,False,False,Norman Y. Mineta,democrat,False,total,135291,202611.0,False,20171005,1,33986.5,-0.04841333925857102,0.681778193
78,1976,California,CA,6,93,71,US House,14,gen,False,False,John J. McFall,democrat,False,total,123285,169959.0,False,20171005,1,38306.5,-0.04841333925857102,0.106304958
80,1976,California,CA,6,93,71,US House,15,gen,False,False,B. F. Sisk,republican,False,total,92735,128435.0,False,20171005,1,28518.5,0.04841333925857102,0.13996441699999998
83,1976,California,CA,6,93,71,US House,16,gen,False,False,Leon E. Panetta,democrat,False,total,104545,195705.0,False,20171005,1,6693.5,-0.04841333925857102,1.181393504
84,1976,California,CA,6,93,71,US House,17,gen,False,False,John Krebs,democrat,False,total,103898,158168.0,False,20171005,1,24815.0,-0.04841333925857102,2.2997896669999998
87,1976,California,CA,6,93,71,US House,18,gen,False,False,William M. Ketchum,democrat,False,total,101658,158341.0,False,20171005,1,22488.5,0.005212026175533688,0.9256070259999999
89,1976,California,CA,6,93,71,US House,19,gen,False,False,Robert J. Lagomarsino,democrat,False,total,124201,192923.0,False,20171005,1,27740.5,0.005212026175533688,1.109247446
90,1976,California,CA,6,93,71,US House,20,gen,False,False,"Barry Goldwater, Jr.",democrat,False,total,146158,217351.0,False,20171005,1,37483.5,0.005212026175533688,0.437356272
92,1976,California,CA,6,93,71,US House,21,gen,False,False,James C. Corman,democrat,False,total,101837,153109.0,False,20171005,1,25283.5,0.005212026175533688,0.10844090599999999
95,1976,California,CA,6,93,71,US House,22,gen,False,False,Carlos J. Moorhead,democrat,False,total,114769,183312.0,False,20171005,1,23114.0,0.005212026175533688,0.141439512
98,1976,California,CA,6,93,71,US House,23,gen,False,False,Anthony C. Beilenson,republican,False,total,130619,217053.0,False,20171005,1,22093.5,0.22351472768910843,0.22066462
100,1976,California,CA,6,93,71,US House,24,gen,False,False,Heny A. Waxman,democrat,False,total,108296,159774.0,False,20171005,1,28410.0,-0.021807009793805118,0.39829909799999996
103,1976,California,CA,6,93,71,US House,25,gen,False,False,Edward R. Roybal,republican,False,total,57966,80625.0,False,20171005,1,17654.5,0.021807009793805118,0.10339713800000001
104,1976,California,CA,6,93,71,US House,26,gen,False,False,John H. Rousselot,democrat,False,total,112619,171712.0,False,20171005,1,26764.0,-0.021807009793805118,0.031523518
107,1976,California,CA,6,93,71,US House,27,gen,False,False,Robert K. Dornan,democrat,False,total,114623,209611.0,False,20171005,1,9818.5,-0.021807009793805118,5.520271301
109,1976,California,CA,6,93,71,US House,28,gen,False,False,Yvonne Brathwaite Burke,democrat,False,total,114612,142915.0,False,20171005,1,43155.5,-0.021807009793805118,0.77488637
112,1976,California,CA,6,93,71,US House,29,gen,False,False,"Augustus F. """"Gus"""" Hawkins",republican,False,total,82515,96602.0,False,20171005,1,34215.0,0.021807009793805118,0.07817832400000001
114,1976,California,CA,6,93,71,US House,30,gen,False,False,Georg E. Danielson,republican,False,total,82767,111270.0,False,20171005,1,27133.0,0.021807009793805118,0.151312888
115,1976,California,CA,6,93,71,US House,31,gen,False,False,Charles II. Wilson,republican,False,total,83155,83155.0,False,20171005,1,41578.5,0.021807009793805118,0.172748879
117,1976,California,CA,6,93,71,US House,32,gen,False,False,Glenn M. Anderson,republican,False,total,92034,127428.0,False,20171005,1,28321.0,0.021807009793805118,0.268580377
118,1976,California,CA,6,93,71,US House,33,gen,False,False,Del Clawson,republican,False,total,95398,173205.0,False,20171005,1,8796.5,0.021807009793805118,0.243361562
121,1976,California,CA,6,93,71,US House,34,gen,False,False,Mark W. Hannaford,democrat,False,total,100988,199135.0,False,20171005,1,1421.5,-0.021807009793805118,1.675029516
122,1976,California,CA,6,93,71,US House,35,gen,False,False,Jim Lloyd,democrat,False,total,87472,164237.0,False,20171005,1,5354.5,-0.021807009793805118,6.136074066
124,1976,California,CA,6,93,71,US House,36,gen,False,False,"George E. Brown, Jr.",democrat,False,total,90830,147556.0,False,20171005,1,17053.0,0.04399356007124391,0.15278798300000002
129,1976,California,CA,6,93,71,US House,37,gen,False,False,Shirley N. Pettis,democrat,False,total,133634,188007.0,False,20171005,1,39631.5,0.04399356007124391,0.045393866
131,1976,California,CA,6,93,71,US House,38,gen,False,False,Jerry Patterson,democrat,False,total,103317,162409.0,False,20171005,1,22113.5,0.04399356007124391,0.195659965
133,1976,California,CA,6,93,71,US House,39,gen,False,False,Charles E. Wiggins,democrat,False,total,122657,209402.0,False,20171005,1,17957.0,0.04399356007124391,0.045393866
135,1976,California,CA,6,93,71,US House,40,gen,False,False,Robert E. Badham,republican,False,total,148512,250644.0,False,20171005,1,23191.0,-0.005168355278932851,0.263536602
136,1976,California,CA,6,93,71,US House,41,gen,False,False,Bob C. Wilson,democrat,False,total,128784,223374.0,False,20171005,1,17098.0,0.005168355278932851,0.38777756700000005
139,1976,California,CA,6,93,71,US House,42,gen,False,False,Lionel Van Deerlin,democrat,False,total,103062,135627.0,False,20171005,1,35249.5,0.005168355278932851,0.122311249
140,1976,California,CA,6,93,71,US House,43,gen,False,False,Clair W. Burgener,democrat,False,total,173576,267051.0,False,20171005,1,40051.5,0.005168355278932851,1.169772625
144,1976,Colorado,CO,8,84,62,US House,1,gen,False,False,Patricia Schroeder,democrat,False,total,103037,193610.0,False,20171005,1,6233.0,0.031143687518227315,0.174009815
147,1976,Colorado,CO,8,84,62,US House,2,gen,False,False,Timothy E. Wirth,democrat,False,total,121340,240278.0,False,20171005,1,1202.0,-0.022241531470094385,1.688899875
151,1976,Colorado,CO,8,84,62,US House,3,gen,False,False,Frank E. Evans,democrat,False,total,89302,175232.0,False,20171005,1,1687.0,-0.022241531470094385,0.090787731
153,1976,Colorado,CO,8,84,62,US House,4,gen,False,False,James P. (Jim) Johnson,republican,False,total,119458,221018.0,False,20171005,1,8950.0,-0.026025457719463845,0.017022699
157,1976,Colorado,CO,8,84,62,US House,5,gen,False,False,William L. Armstrong,democrat,False,total,126784,190851.0,False,20171005,1,31359.5,-0.026025457719463845,0.44870472
160,1976,Connecticut,CT,9,16,1,US House,1,gen,False,False,William R. Cotter,democrat,False,total,128479,225076.0,False,20171005,1,15942.0,-0.026025457719463845,0.025218815
164,1976,Connecticut,CT,9,16,1,US House,2,gen,False,False,Christopher J. Dodd,democrat,False,total,142684,219308.0,False,20171005,1,33031.0,-0.07155191788360037,1.735554695
171,1976,Connecticut,CT,9,16,1,US House,3,gen,False,False,Robert N. Giaimo,republican,False,total,121623,222643.0,False,20171005,1,10302.5,0.0007894124440518545,1.468829751
174,1976,Connecticut,CT,9,16,1,US House,4,gen,False,False,Stewart B. McKinney,democrat,False,total,126314,207058.0,False,20171005,1,22786.0,-0.0007894124440518545,1.648528099
179,1976,Connecticut,CT,9,16,1,US House,5,gen,False,False,Ronald A. Sarasin,democrat,False,total,157009,236087.0,False,20171005,1,38966.5,-0.0007894124440518545,0.252188146
182,1976,Connecticut,CT,9,16,1,US House,6,gen,False,False,Anthony Toby Moffett,democrat,False,total,134914,238300.0,False,20171005,1,15765.0,-0.0007894124440518545,0.17022699100000002
188,1976,Delaware,DE,10,51,11,US House,0,gen,False,False,"Thomas B. Evans, Jr.",democrat,False,total,110636,215085.0,False,20171005,1,3094.5,-0.016638981138540423,0.182836398
191,1976,Florida,FL,12,59,43,US House,1,gen,False,False,Robert L. F. Sikes,republican,False,total,1,1.0,False,20171005,1,1.5,0.016638981138540423,0.594973862
192,1976,Florida,FL,12,59,43,US House,2,gen,False,False,Don Fuqua,republican,False,total,1,1.0,False,20171005,1,1.5,0.016638981138540423,0.07187362
193,1976,Florida,FL,12,59,43,US House,3,gen,False,False,Charles E. Bennett,republican,False,total,1,1.0,False,20171005,1,1.5,0.016638981138540423,0.929791868
194,1976,Florida,FL,12,59,43,US House,4,gen,False,False,"Bill Chappell, Jr.",democrat,False,total,1,1.0,False,20171005,1,1.5,-0.016638981138540423,0.06430798
196,1976,Florida,FL,12,59,43,US House,5,gen,False,False,Richard Kelly,democrat,False,total,138371,234631.0,False,20171005,1,21056.5,-0.016638981138540423,2.983446836
199,1976,Florida,FL,12,59,43,US House,6,gen,False,False,C. W. Bill Young,democrat,False,total,151371,232218.0,False,20171005,1,35263.0,-0.016638981138540423,1.123117805
201,1976,Florida,FL,12,59,43,US House,7,gen,False,False,Sam Gibbons,republican,False,total,102739,156338.0,False,20171005,1,24571.0,0.016638981138540423,0.126094073
202,1976,Florida,FL,12,59,43,US House,8,gen,False,False,Andy Ireland,republican,False,total,103360,178154.0,False,20171005,1,14284.0,0.021281573316737846,1.307962775
205,1976,Florida,FL,12,59,43,US House,9,gen,False,False,"Louis Frey, Jr.",democrat,False,total,130509,167139.0,False,20171005,1,46940.5,-0.021281573316737846,0.222311512
206,1976,Florida,FL,12,59,43,US House,10,gen,False,False,L. A. (Skip) Bafalis,democrat,False,total,164273,247686.0,False,20171005,1,40431.0,-0.021281573316737846,0.836080253
209,1976,Florida,FL,12,59,43,US House,11,gen,False,False,Paul G. Rogers,democrat,False,total,199031,218437.0,False,20171005,1,89813.5,-0.021281573316737846,0.552931309
210,1976,Florida,FL,12,59,43,US House,12,gen,False,False,J. Herbert Burke,democrat,False,total,107268,199076.0,False,20171005,1,7731.0,-0.0554289300908124,1.8036454919999998
214,1976,Florida,FL,12,59,43,US House,13,gen,False,False,William Lehman,republican,False,total,127822,163179.0,False,20171005,1,46233.5,0.0554289300908124,0.610105157
215,1976,Florida,FL,12,59,43,US House,14,gen,False,False,Claude Pepper,democrat,False,total,82665,113439.0,False,20171005,1,25946.5,0.05999789508826413,1.518135548
219,1976,Florida,FL,12,59,43,US House,15,gen,False,False,Dante B. Fascell,democrat,False,total,121292,172233.0,False,20171005,1,35176.5,0.05999789508826413,0.0
220,1976,Georgia,GA,13,58,44,US House,1,gen,False,False,Bo Ginn,republican,False,total,73826,73888.0,False,20171005,1,36883.0,-0.05999789508826413,0.006304704
223,1976,Georgia,GA,13,58,44,US House,2,gen,False,False,Dawson Mathis,democrat,False,total,95807,96026.0,False,20171005,1,47795.0,0.05999789508826413,0.029001636
225,1976,Georgia,GA,13,58,44,US House,3,gen,False,False,Jack Brinkley,democrat,False,total,93174,105004.0,False,20171005,1,40673.0,-0.05092083326841277,0.522698224
228,1976,Georgia,GA,13,58,44,US House,4,gen,False,False,Elliott H. Levitas,democrat,False,total,110261,161412.0,False,20171005,1,29556.0,0.034040042958191304,0.33607897200000003
231,1976,Georgia,GA,13,58,44,US House,5,gen,False,False,Andrew Young,democrat,False,total,96056,144063.0,False,20171005,1,24025.5,-0.035675483708107095,0.017653171000000002
235,1976,Georgia,GA,13,58,44,US House,6,gen,False,False,"John J. Flynt, Jr.",democrat,False,total,77532,149944.0,False,20171005,1,2561.0,0.023023111346591393,1.712722421
238,1976,Georgia,GA,13,58,44,US House,7,gen,False,False,Larry P. McDonald,republican,False,total,84587,153554.0,False,20171005,1,7811.0,-0.023023111346591393,0.499420494
239,1976,Georgia,GA,13,58,44,US House,8,gen,False,False,Bill Lee Evans,democrat,False,total,90559,130186.0,False,20171005,1,25467.0,0.023023111346591393,0.152573824
243,1976,Georgia,GA,13,58,44,US House,9,gen,False,False,Ed Jenkins,democrat,False,total,113245,143357.0,False,20171005,1,41567.5,0.023023111346591393,0.537248731
245,1976,Georgia,GA,13,58,44,US House,10,gen,False,False,Doug Barnard,democrat,False,total,94782,94864.0,False,20171005,1,47351.0,0.023023111346591393,0.13365972
249,1976,Hawaii,HI,15,95,82,US House,1,gen,False,False,Cecil L. Heftel,democrat,False,total,60050,137602.0,False,20171005,1,-8750.0,0.004308256795061603,0.304555476
252,1976,Hawaii,HI,15,95,82,US House,2,gen,False,False,Daniel K. Akaka,democrat,False,total,124116,156099.0,False,20171005,1,46067.5,-0.010057958744471178,0.121264465
256,1976,Idaho,ID,16,82,63,US House,1,gen,False,False,Steven D. Symms,democrat,False,total,95833,175495.0,False,20171005,1,8086.5,-0.010057958744471178,0.768916667
258,1976,Idaho,ID,16,82,63,US House,2,gen,False,False,George Hansen,democrat,False,total,84175,166412.0,False,20171005,1,970.0,-0.010057958744471178,0.322800815
260,1976,Illinois,IL,17,33,21,US House,1,gen,False,False,Ralph H. Metcalfe,democrat,False,total,126632,137193.0,False,20171005,1,58036.5,-0.010057958744471178,0.090787731
265,1976,Illinois,IL,17,33,21,US House,2,gen,False,False,Morgan F. Murphy,democrat,False,total,127297,150335.0,False,20171005,1,52130.5,-0.010057958744471178,2.472357988
267,1976,Illinois,IL,17,33,21,US House,3,gen,False,False,Martin A. Russo,republican,False,total,115591,196365.0,False,20171005,1,17409.5,-0.010057958744471178,0.4485840725
271,1976,Illinois,IL,17,33,21,US House,4,gen,False,False,Edward Derwinski,democrat,False,total,124847,189772.0,False,20171005,1,29962.0,-0.010057958744471178,4.238568306
274,1976,Illinois,IL,17,33,21,US House,5,gen,False,False,John G. Fary,republican,False,total,119336,155092.0,False,20171005,1,41791.0,0.010057958744471178,1.1357272859999998
277,1976,Illinois,IL,17,33,21,US House,6,gen,False,False,HenryJ. Hyde,democrat,False,total,106667,176027.0,False,20171005,1,18654.5,-0.010057958744471178,1.328461051
280,1976,Illinois,IL,17,33,21,US House,7,gen,False,False,Cardiss Collins,republican,False,total,88239,104094.0,False,20171005,1,36193.0,0.010057958744471178,0.276360184
282,1976,Illinois,IL,17,33,21,US House,8,gen,False,False,Daniel D. Rostenkowski,republican,False,total,105595,131107.0,False,20171005,1,40042.5,0.010057958744471178,0.126094073
285,1976,Illinois,IL,17,33,21,US House,9,gen,False,False,Sidney R. Yates,democrat,False,total,121915,168983.0,False,20171005,1,37424.5,-0.010057958744471178,0.42871984799999996
288,1976,Illinois,IL,17,33,21,US House,10,gen,False,False,Abner J. Mikva,democrat,False,total,106804,213414.0,False,20171005,1,98.0,-0.010057958744471178,0.08826585099999999
292,1976,Illinois,IL,17,33,21,US House,11,gen,False,False,Frank Annunzio,democrat,False,total,135755,201440.0,False,20171005,1,35036.0,0.0008867242477086742,1.9714385269999999
294,1976,Illinois,IL,17,33,21,US House,12,gen,False,False,Philip M. Crane,democrat,False,total,151899,208553.0,False,20171005,1,47623.5,0.0008867242477086742,1.712669849
297,1976,Illinois,IL,17,33,21,US House,13,gen,False,False,Robert McClory,republican,False,total,109726,164266.0,False,20171005,1,27594.0,-0.0008867242477086742,0.40543073399999996
300,1976,Illinois,IL,17,33,21,US House,14,gen,False,False,John Erlenborn,republican,False,total,176076,236588.0,False,20171005,1,57783.0,0.07840516165828966,nan
303,1976,Illinois,IL,17,33,21,US House,15,gen,False,False,Tom Corcoran,republican,False,total,102555,190231.0,False,20171005,1,7440.5,0.018884244180113984,0.6077734229999999
304,1976,Illinois,IL,17,33,21,US House,16,gen,False,False,John B. Anderson,republican,False,total,114324,168328.0,False,20171005,1,30161.0,0.018884244180113984,0.291946054
308,1976,Illinois,IL,17,33,21,US House,17,gen,False,False,George M. O'Brien,republican,False,total,113145,194365.0,False,20171005,1,15963.5,0.018884244180113984,0.119789369
309,1976,Illinois,IL,17,33,21,US House,18,gen,False,False,Robert H. Michel,democrat,False,total,108028,187130.0,False,20171005,1,14464.0,-0.018884244180113984,2.098189354
311,1976,Illinois,IL,17,33,21,US House,19,gen,False,False,Tom Railsback,republican,False,total,132571,193539.0,False,20171005,1,35802.5,0.018884244180113984,0.029001636
315,1976,Illinois,IL,17,33,21,US House,20,gen,False,False,Paul Findley,republican,False,total,137223,215857.0,False,20171005,1,29295.5,0.018884244180113984,0.06682986
317,1976,Illinois,IL,17,33,21,US House,21,gen,False,False,Edward R. Madigan,republican,False,total,137037,184035.0,False,20171005,1,45020.5,0.018884244180113984,0.316496134
319,1976,Illinois,IL,17,33,21,US House,22,gen,False,False,George E. Shipley,democrat,False,total,129187,210289.0,False,20171005,1,24043.5,-0.018884244180113984,1.47671473
322,1976,Illinois,IL,17,33,21,US House,23,gen,False,False,Melvin Price,democrat,False,total,128113,162938.0,False,20171005,1,46645.0,-0.018884244180113984,2.160166264
323,1976,Illinois,IL,17,33,21,US House,24,gen,False,False,Paul Simon,democrat,False,total,152344,226110.0,False,20171005,1,39290.0,-0.018884244180113984,0.43145588
325,1976,Indiana,IN,18,32,22,US House,1,gen,False,False,"Adam Benjamin, Jr.",democrat,False,total,121155,169911.0,False,20171005,1,36200.5,0.01977066490177208,1.486215711
327,1976,Indiana,IN,18,32,22,US House,2,gen,False,False,Floyd J. Fithian,democrat,False,total,117617,214845.0,False,20171005,1,10195.5,0.01977066490177208,1.9560130830000002
331,1976,Indiana,IN,18,32,22,US House,3,gen,False,False,John Brademas,democrat,False,total,101777,178871.0,False,20171005,1,12342.5,0.038751920667854135,9.903700829
333,1976,Indiana,IN,18,32,22,US House,4,gen,False,False,J. Danforth Quayle,democrat,False,total,107762,198183.0,False,20171005,1,8671.5,0.038751920667854135,3.332270622
336,1976,Indiana,IN,18,32,22,US House,5,gen,False,False,Elwood Hillis,democrat,False,total,127194,206001.0,False,20171005,1,24194.5,0.017140874191039268,1.136260748
338,1976,Indiana,IN,18,32,22,US House,6,gen,False,False,David W. Evans,republican,False,total,105773,192627.0,False,20171005,1,9460.5,-0.017140874191039268,0.39408224799999997
340,1976,Indiana,IN,18,32,22,US House,7,gen,False,False,John T. Myers,democrat,False,total,130005,207360.0,False,20171005,1,26326.0,0.017140874191039268,1.9152609109999998
341,1976,Indiana,IN,18,32,22,US House,8,gen,False,False,David L. Cornwell,democrat,False,total,109013,216026.0,False,20171005,1,1001.0,0.017140874191039268,0.15404892
343,1976,Indiana,IN,18,32,22,US House,9,gen,False,False,Lee H. Hamilton,republican,False,total,136056,136056.0,False,20171005,1,68029.0,-0.017140874191039268,0.229491219
345,1976,Indiana,IN,18,32,22,US House,10,gen,False,False,Philip R. Sharp,democrat,False,total,114559,191449.0,False,20171005,1,18835.5,0.017140874191039268,0.13365972
348,1976,Indiana,IN,18,32,22,US House,11,gen,False,False,"Andrew Jacobs, Jr.",democrat,False,total,115895,191859.0,False,20171005,1,19966.5,0.017140874191039268,2.7491021160000004
351,1976,Iowa,IA,19,42,31,US House,1,gen,False,False,James A. S. Leach,democrat,False,total,109694,211204.0,False,20171005,1,4093.0,0.017140874191039268,0.050437629000000005
353,1976,Iowa,IA,19,42,31,US House,2,gen,False,False,Michael T. Blouin,democrat,False,total,102980,204550.0,False,20171005,1,706.0,0.017140874191039268,1.0505281690000001
357,1976,Iowa,IA,19,42,31,US House,3,gen,False,False,Charles E. Grassley,republican,False,total,117957,208938.0,False,20171005,1,13489.0,-0.017140874191039268,0.05169856900000001
358,1976,Iowa,IA,19,42,31,US House,4,gen,False,False,Neal Smith,republican,False,total,145343,210356.0,False,20171005,1,40166.0,-0.017140874191039268,0.201750517
360,1976,Iowa,IA,19,42,31,US House,5,gen,False,False,Tom Harkin,democrat,False,total,135600,209052.0,False,20171005,1,31075.0,0.03158024653265246,1.191877365
364,1976,Iowa,IA,19,42,31,US House,6,gen,False,False,Berkley Bedell,democrat,False,total,133507,198002.0,False,20171005,1,34507.0,0.009159636459666198,0.828335822
367,1976,Kansas,KS,20,47,32,US House,1,gen,False,False,Keith G. Sebelius,republican,False,total,142311,194772.0,False,20171005,1,44926.0,-0.0016212160400030174,0.419306755
369,1976,Kansas,KS,20,47,32,US House,2,gen,False,False,Martha Keys,republican,False,total,88645,174861.0,False,20171005,1,1215.5,0.053844599065811294,0.871119857
376,1976,Kansas,KS,20,47,32,US House,3,gen,False,False,"Larry Winn, Jr.",democrat,False,total,123578,179865.0,False,20171005,1,33646.5,-0.053844599065811294,0.17653170199999998
379,1976,Kansas,KS,20,47,32,US House,4,gen,False,False,Dan Glickman,republican,False,total,90067,179168.0,False,20171005,1,484.0,-0.03886735620528088,0.293212682
381,1976,Kansas,KS,20,47,32,US House,5,gen,False,False,Joe Skubitz,democrat,False,total,109573,180625.0,False,20171005,1,19261.5,0.03886735620528088,0.013870348000000001
384,1976,Kentucky,KY,21,61,51,US House,1,gen,False,False,"Carroll Hubbard, Jr.",democrat,False,total,118886,144985.0,False,20171005,1,46394.5,0.03886735620528088,3.539975882
388,1976,Kentucky,KY,21,61,51,US House,2,gen,False,False,William H. Natcher,democrat,False,total,79016,130920.0,False,20171005,1,13557.0,0.03886735620528088,0.545242667
390,1976,Kentucky,KY,21,61,51,US House,3,gen,False,False,Romano L. Mazzoli,democrat,False,total,80496,140744.0,False,20171005,1,10125.0,0.03886735620528088,0.013870348000000001
392,1976,Kentucky,KY,21,61,51,US House,4,gen,False,False,Gene Snyder,democrat,False,total,97493,174502.0,False,20171005,1,10243.0,0.03886735620528088,0.49535954
397,1976,Kentucky,KY,21,61,51,US House,5,gen,False,False,Tim Lee Carter,democrat,False,total,100204,150473.0,False,20171005,1,24968.5,0.03886735620528088,0.083222091
400,1976,Kentucky,KY,21,61,51,US House,6,gen,False,False,John B. Breckinridge,democrat,False,total,90695,96493.0,False,20171005,1,42449.5,0.03886735620528088,0.351210266
401,1976,Kentucky,KY,21,61,51,US House,7,gen,False,False,Carl D. Perkins,democrat,False,total,110450,150831.0,False,20171005,1,35035.5,-0.011978905211361617,1.9911476369999999
404,1976,Louisiana,LA,22,72,45,US House,1,gen,False,False,Richard A. Tonry,republican,False,total,61652,130558.0,False,20171005,1,-3626.0,0.026829623491423937,0.224661604
406,1976,Louisiana,LA,22,72,45,US House,2,gen,False,False,Lindy (Mrs. Hale) Boggs,democrat,False,total,85923,92827.0,False,20171005,1,39510.5,-0.026829623491423937,3.1473691460000004
409,1976,Louisiana,LA,22,72,45,US House,3,gen,False,False,David C. Treen,republican,False,total,109135,148863.0,False,20171005,1,34704.5,0.026829623491423937,0.156570807
410,1976,Louisiana,LA,22,72,45,US House,4,gen,False,False,"Joe D. Waggonner, Jr.",republican,False,total,76406,76406.0,False,20171005,1,38204.0,0.026829623491423937,0.41254177700000005
412,1976,Louisiana,LA,22,72,45,US House,5,gen,False,False,Jerry Huckaby,republican,False,total,83696,159270.0,False,20171005,1,4062.0,0.026829623491423937,0.239792898
413,1976,Louisiana,LA,22,72,45,US House,6,gen,False,False,W. Henson Moore,democrat,False,total,99780,152992.0,False,20171005,1,23285.0,-0.026829623491423937,0.820948958
415,1976,Louisiana,LA,22,72,45,US House,7,gen,False,False,John B. Breaux,democrat,False,total,117196,140610.0,False,20171005,1,46892.0,0.04821584825321466,3.491960764
418,1976,Louisiana,LA,22,72,45,US House,8,gen,False,False,Gillis W. Long,democrat,False,total,106285,112811.0,False,20171005,1,49880.5,0.04821584825321466,2.873720646
420,1976,Maine,ME,23,11,2,US House,1,gen,False,False,David F. Emery,republican,False,total,145523,253628.0,False,20171005,1,18710.0,0.04821584825321466,0.094570555
422,1976,Maine,ME,23,11,2,US House,2,gen,False,False,William S. Cohen,democrat,False,total,169292,219547.0,False,20171005,1,59519.5,0.029506161033059766,4.849607468
