,year,state,d_eg,r_eg
0,1976,Alabama,-0.12316097375756922,0.12316097375756922
1,1976,Alaska,-0.02700042862299224,0.02700042862299224
2,1976,Arizona,-0.004448596146701343,0.004448596146701343
3,1976,Arkansas,-0.02072914026513975,0.02072914026513975
4,1976,California,-0.0035405894389381114,0.0035405894389381114
5,1976,Colorado,0.05610783506089025,-0.05610783506089025
6,1976,Connecticut,0.03316583080729384,-0.03316583080729384
7,1976,Delaware,-0.07695910918939024,0.07695910918939024
8,1976,Florida,-0.04841333925857102,0.04841333925857102
9,1976,Georgia,0.005212026175533688,-0.005212026175533688
10,1976,Hawaii,0.03380915628160875,-0.03380915628160875
11,1976,Idaho,-0.22351472768910843,0.22351472768910843
12,1976,Illinois,-0.021807009793805118,0.021807009793805118
13,1976,Indiana,0.04399356007124391,-0.04399356007124391
14,1976,Iowa,0.005168355278932851,-0.005168355278932851
15,1976,Kansas,0.031143687518227315,-0.031143687518227315
16,1976,Kentucky,-0.022241531470094385,0.022241531470094385
17,1976,Louisiana,-0.026025457719463845,0.026025457719463845
18,1976,Maine,-0.0626346066590788,0.0626346066590788
19,1976,Maryland,-0.07155191788360037,0.07155191788360037
20,1976,Massachusetts,-0.0007894124440518545,0.0007894124440518545
21,1976,Michigan,-0.016638981138540423,0.016638981138540423
22,1976,Minnesota,-0.021281573316737846,0.021281573316737846
23,1976,Mississippi,-0.0554289300908124,0.0554289300908124
24,1976,Missouri,0.05999789508826413,-0.05999789508826413
25,1976,Montana,-0.05092083326841277,0.05092083326841277
26,1976,Nebraska,0.034040042958191304,-0.034040042958191304
27,1976,Nevada,-0.029962023986430705,0.029962023986430705
28,1976,New Hampshire,-0.035675483708107095,0.035675483708107095
29,1976,New Jersey,0.023023111346591393,-0.023023111346591393
30,1976,New Mexico,0.004308256795061603,-0.004308256795061603
31,1976,New York,-0.010057958744471178,0.010057958744471178
32,1976,North Carolina,0.0008867242477086742,-0.0008867242477086742
33,1976,North Dakota,-0.07840516165828966,0.07840516165828966
34,1976,Ohio,-0.018884244180113984,0.018884244180113984
35,1976,Oklahoma,0.01977066490177208,-0.01977066490177208
36,1976,Oregon,0.038751920667854135,-0.038751920667854135
37,1976,Pennsylvania,0.017140874191039268,-0.017140874191039268
38,1976,Rhode Island,0.03158024653265246,-0.03158024653265246
39,1976,South Carolina,0.009159636459666198,-0.009159636459666198
40,1976,South Dakota,0.0016212160400030174,-0.0016212160400030174
41,1976,Tennessee,-0.053844599065811294,0.053844599065811294
42,1976,Texas,0.03886735620528088,-0.03886735620528088
43,1976,Utah,-0.011978905211361617,0.011978905211361617
44,1976,Vermont,-0.05075232389703959,0.05075232389703959
45,1976,Virginia,-0.026829623491423937,0.026829623491423937
46,1976,Washington,0.04821584825321466,-0.04821584825321466
47,1976,West Virginia,0.029506161033059766,-0.029506161033059766
48,1976,Wisconsin,0.012294022895437278,-0.012294022895437278
49,1976,Wyoming,0.1855525851397266,-0.1855525851397266
50,1978,Alabama,-0.17178913462647932,0.17178913462647932
51,1978,Alaska,-0.13006594893185278,0.13006594893185278
52,1978,Arizona,-0.020570145410965468,0.020570145410965468
53,1978,Arkansas,-0.08379509650139808,0.08379509650139808
54,1978,California,0.0037483495731431143,-0.0037483495731431143
55,1978,Colorado,0.051482283478342585,-0.051482283478342585
56,1978,Connecticut,0.05809907901149075,-0.05809907901149075
57,1978,Delaware,-0.10991372927323577,0.10991372927323577
58,1978,Florida,0.0414650835699861,-0.0414650835699861
59,1978,Georgia,-0.09618412092089025,0.09618412092089025
60,1978,Hawaii,-0.04108934243574383,0.04108934243574383
61,1978,Idaho,-0.16366292418405584,0.16366292418405584
62,1978,Illinois,-0.010565756016172231,0.010565756016172231
63,1978,Indiana,0.018878142904493585,-0.018878142904493585
64,1978,Iowa,0.002727128746855605,-0.002727128746855605
65,1978,Kansas,0.01073131579445324,-0.01073131579445324
66,1978,Kentucky,-0.06750042227352064,0.06750042227352064
67,1978,Louisiana,0.24896775105325678,-0.24896775105325678
68,1978,Maine,-0.06501198968853465,0.06501198968853465
69,1978,Maryland,-0.04029227200933449,0.04029227200933449
70,1978,Massachusetts,-0.031605887599995657,0.031605887599995657
71,1978,Michigan,0.0005578270251155163,-0.0005578270251155163
72,1978,Minnesota,-0.025661634069740216,0.025661634069740216
73,1978,Mississippi,0.01045920303072033,-0.01045920303072033
74,1978,Missouri,0.011275763447083484,-0.011275763447083484
75,1978,Montana,0.008460235393764006,-0.008460235393764006
76,1978,Nebraska,0.027468185052229876,-0.027468185052229876
77,1978,Nevada,0.006184175288439992,-0.006184175288439992
78,1978,New Hampshire,0.02535080131578341,-0.02535080131578341
79,1978,New Jersey,0.007292604006039643,-0.007292604006039643
80,1978,New Mexico,-0.2005969808737975,0.2005969808737975
81,1978,New York,-0.0026792840550626572,0.0026792840550626572
82,1978,North Carolina,0.06743112968491496,-0.06743112968491496
83,1978,North Dakota,-0.03456430367566292,0.03456430367566292
84,1978,Ohio,-0.011441474288475428,0.011441474288475428
85,1978,Oklahoma,0.11231343758619958,-0.11231343758619958
86,1978,Oregon,0.041017883762980906,-0.041017883762980906
87,1978,Pennsylvania,0.028690052846664225,-0.028690052846664225
88,1978,Rhode Island,0.18416222116815356,-0.18416222116815356
89,1978,South Carolina,-0.1084782289850084,0.1084782289850084
90,1978,South Dakota,0.03246380952008234,-0.03246380952008234
91,1978,Tennessee,-0.015639639222261213,0.015639639222261213
92,1978,Texas,0.04456888768224197,-0.04456888768224197
93,1978,Utah,0.022282314701549125,-0.022282314701549125
