,name,party,state,district,context,le,eg
0,Jack Edwards,republican,Alabama,1,candidate,"[{'year': 1976, 'le': 0.243361562}, {'year': 1978, 'le': 0.8662606890000001}, {'year': 1980, 'le': 0.403744034}, {'year': 1982, 'le': 0.519161761}]","[{'year': 1976, 'eg': 0.24963415410065534}, {'year': 1978, 'eg': 0.2212934977398561}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': 0.2668161746327103}]"
1,"William L. """"Bill"""" Dickinson",republican,Alabama,2,candidate,"[{'year': 1976, 'le': 0.481489182}, {'year': 1978, 'le': 0.5554339079999999}]","[{'year': 1976, 'eg': 0.34791701308502065}, {'year': 1978, 'eg': 0.4199925418356407}]"
2,Bill Nichols,democrat,Alabama,3,candidate,"[{'year': 1976, 'le': 2.1909680369999998}, {'year': 1978, 'le': 3.70944424}, {'year': 1980, 'le': 2.8073017510000002}, {'year': 1982, 'le': 1.695189595}, {'year': 1984, 'le': 1.86331106}, {'year': 1986, 'le': 0.466008365}, {'year': 1988, 'le': 0.0}]","[{'year': 1976, 'eg': 0.0}, {'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': 0.11133271750083977}, {'year': 1988, 'eg': 0.0}]"
3,Tom Bevill,democrat,Alabama,4,candidate,"[{'year': 1976, 'le': 1.7587908509999999}, {'year': 1978, 'le': 1.81377548}, {'year': 1980, 'le': 1.361848776}, {'year': 1982, 'le': 2.28665781}, {'year': 1984, 'le': 1.773720902}, {'year': 1986, 'le': 2.3158872130000003}, {'year': 1988, 'le': 2.418838978}, {'year': 1990, 'le': 2.3169056980000002}, {'year': 1992, 'le': 2.081462838}, {'year': 1994, 'le': 0.5977621670000001}]","[{'year': 1976, 'eg': 0.107639954096647}, {'year': 1978, 'eg': 0.0}, {'year': 1980, 'eg': 0.0}, {'year': 1982, 'eg': 0.0}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': 0.04990698027048621}, {'year': 1988, 'eg': 0.0}, {'year': 1990, 'eg': 0.0}, {'year': 1992, 'eg': -0.1053669265105868}, {'year': 1994, 'eg': 0.0}]"
4,Ronnie G. Flippo,democrat,Alabama,5,candidate,"[{'year': 1976, 'le': 0.564978004}, {'year': 1978, 'le': 0.859399006}, {'year': 1982, 'le': 0.527287185}, {'year': 1984, 'le': 0.8210149090000001}, {'year': 1988, 'le': 0.15776024800000002}]","[{'year': 1976, 'eg': 0.0}, {'year': 1978, 'eg': 0.0}, {'year': 1982, 'eg': 0.1243549822064057}, {'year': 1984, 'eg': 0.0}, {'year': 1988, 'eg': -0.20180524372665748}]"
5,"John H. Buchanan, Jr.",republican,Alabama,6,candidate,"[{'year': 1976, 'le': 0.020175051}]","[{'year': 1976, 'eg': 0.36015087559531866}]"
6,Walter Flowers,democrat,Alabama,7,candidate,"[{'year': 1976, 'le': 0.300772637}]","[{'year': 1976, 'eg': 0.0}]"
7,Don Young,republican,Alaska,1,candidate,"[{'year': 1976, 'le': 0.7557820679999999}, {'year': 1978, 'le': 1.614497259}, {'year': 1982, 'le': 2.368814468}, {'year': 1986, 'le': 2.707639217}, {'year': 1988, 'le': 1.26391542}, {'year': 1990, 'le': 2.363701096}, {'year': 1992, 'le': 3.043102943}, {'year': 1994, 'le': 13.18349457}, {'year': 1996, 'le': 10.11370087}, {'year': 1998, 'le': 8.151297569}, {'year': 2000, 'le': 15.76339436}, {'year': 2002, 'le': 16.30007172}, {'year': 2004, 'le': 15.3022886}, {'year': 2006, 'le': 3.585339546}, {'year': 2008, 'le': 1.873918143}, {'year': 2010, 'le': 4.129578114}, {'year': 2012, 'le': 6.3019952770000005}, {'year': 2014, 'le': 2.977623701}, {'year': 2016, 'le': 5.935343266}]","[{'year': 1976, 'eg': 0.08101820519761777}, {'year': 1978, 'eg': 0.3902139515408215}, {'year': 1982, 'eg': 0.07885843034171987}, {'year': 1986, 'eg': 0.3460979492669614}, {'year': 1988, 'eg': 0.24754217304552875}, {'year': 1990, 'eg': 0.4617786868565644}, {'year': 1992, 'eg': 0.46039579116412116}, {'year': 1994, 'eg': 0.25814444871302344}, {'year': 1996, 'eg': 0.2701369276850663}, {'year': 1998, 'eg': 0.22036274070756828}, {'year': 2000, 'eg': -0.0302212519998688}, {'year': 2002, 'eg': -0.07229992315292567}, {'year': 2004, 'eg': 0.01285683809117455}, {'year': 2006, 'eg': 0.3343753329497752}, {'year': 2008, 'eg': 0.4483307989828947}, {'year': 2010, 'eg': 0.11555822045727092}, {'year': 2012, 'eg': 0.1467681605498889}, {'year': 2014, 'eg': 0.4000182311495276}, {'year': 2016, 'eg': 0.35701399749511675}, {'year': 2018, 'eg': 0.43415578063976523}]"
8,John J. Rhodes,republican,Arizona,1,candidate,"[{'year': 1976, 'le': 0.519589841}, {'year': 1978, 'le': 0.13439879}, {'year': 1980, 'le': 0.02458205}]","[{'year': 1976, 'eg': 0.3334988906667301}, {'year': 1978, 'eg': 0.08062229844425389}, {'year': 1980, 'eg': -0.018725278724850535}]"
9,Morris K. Udall,democrat,Arizona,2,candidate,"[{'year': 1976, 'le': 9.415657997}, {'year': 1978, 'le': 9.087573175}, {'year': 1980, 'le': 8.625212733}, {'year': 1982, 'le': 5.384995461}, {'year': 1984, 'le': 9.11416162}, {'year': 1986, 'le': 11.75482559}, {'year': 1988, 'le': 4.897489548}, {'year': 1990, 'le': 0.084887103}]","[{'year': 1976, 'eg': -0.3117368004919617}, {'year': 1978, 'eg': -0.4289457185538364}, {'year': 1980, 'eg': -0.32210063454202814}, {'year': 1982, 'eg': -0.06536836622489728}, {'year': 1984, 'eg': 0.0}, {'year': 1986, 'eg': 0.0001185879495669168}, {'year': 1988, 'eg': -0.033163490059029105}, {'year': 1990, 'eg': -0.18185300269411855}]"
