,year,state,district,winning_party,d_eg,r_eg
0,1976,Alabama,1,republican,-0.12481071451294776,0.12481071451294776
1,1976,Alabama,2,republican,-0.17395211112674436,0.17395211112674436
2,1976,Alabama,3,democrat,-0.4897082778024582,0.4897082778024582
3,1976,Alabama,4,democrat,-0.05382565815636682,0.05382565815636682
4,1976,Alabama,5,democrat,-0.49994716449454035,0.49994716449454035
5,1976,Alabama,6,republican,-0.1800692846330868,0.1800692846330868
6,1976,Alabama,7,democrat,-0.499963801232568,0.499963801232568
7,1976,Alaska,0,republican,-0.04050064293448836,0.04050064293448836
8,1976,Arizona,1,republican,-0.1667434971656981,0.1667434971656981
9,1976,Arizona,2,democrat,0.15586290960203814,-0.15586290960203814
10,1976,Arizona,3,democrat,0.22410573558090455,-0.22410573558090455
11,1976,Arizona,4,republican,-0.24812098752544495,0.24812098752544495
12,1976,Arkansas,1,democrat,0.06143427616688983,-0.06143427616688983
13,1976,Arkansas,2,democrat,-0.1138332527877714,0.1138332527877714
14,1976,Arkansas,3,republican,0.0,0.0
15,1976,Arkansas,4,democrat,0.0,0.0
16,1976,California,1,democrat,0.010526873594573672,-0.010526873594573672
17,1976,California,2,republican,-0.17505183249216164,0.17505183249216164
18,1976,California,3,democrat,0.02142775235335203,-0.02142775235335203
19,1976,California,4,democrat,0.24784158848494078,-0.24784158848494078
20,1976,California,5,democrat,0.131555730414774,-0.131555730414774
21,1976,California,6,democrat,0.05470301567417275,-0.05470301567417275
22,1976,California,7,democrat,-0.007098000162588407,0.007098000162588407
23,1976,California,8,democrat,0.112990850655483,-0.112990850655483
24,1976,California,9,democrat,0.03164254734139947,-0.03164254734139947
25,1976,California,10,democrat,0.012276204139137818,-0.012276204139137818
26,1976,California,11,democrat,0.12177769958114351,-0.12177769958114351
27,1976,California,12,republican,-0.07523608507698482,0.07523608507698482
28,1976,California,13,democrat,0.071919836534048,-0.071919836534048
29,1976,California,14,democrat,0.024616230973352398,-0.024616230973352398
30,1976,California,15,democrat,0.027957721804803985,-0.027957721804803985
31,1976,California,16,democrat,0.2158005671801947,-0.2158005671801947
32,1976,California,17,democrat,0.0931130190683324,-0.0931130190683324
33,1976,California,18,republican,-0.10797740319942403,0.10797740319942403
34,1976,California,19,republican,-0.10621206388040824,0.10621206388040824
35,1976,California,20,republican,-0.07754622707049887,0.07754622707049887
36,1976,California,21,democrat,0.06142845946351946,-0.06142845946351946
37,1976,California,22,republican,-0.12391169154228855,0.12391169154228855
38,1976,California,23,democrat,0.14821380031605183,-0.14821380031605183
39,1976,California,24,democrat,0.0721894676230175,-0.0721894676230175
40,1976,California,25,democrat,0.0005116279069767442,-0.0005116279069767442
41,1976,California,26,republican,-0.09413727636973537,0.09413727636973537
42,1976,California,27,republican,-0.2031608551077949,0.2031608551077949
43,1976,California,28,democrat,-0.0519627051044327,0.0519627051044327
44,1976,California,29,democrat,-0.12092399743276537,0.12092399743276537
45,1976,California,30,democrat,0.006156196638806507,-0.006156196638806507
46,1976,California,31,democrat,-0.5000120257350731,0.5000120257350731
47,1976,California,32,democrat,0.027752927143171045,-0.027752927143171045
48,1976,California,33,republican,-0.19921624664415,0.19921624664415
49,1976,California,34,democrat,0.24286413739423005,-0.24286413739423005
50,1976,California,35,democrat,0.21740076840176087,-0.21740076840176087
51,1976,California,36,democrat,0.10950079969638646,-0.10950079969638646
52,1976,California,37,republican,-0.024971144691421063,0.024971144691421063
53,1976,California,38,democrat,0.11384375250140079,-0.11384375250140079
54,1976,California,39,republican,-0.16424867002225385,0.16424867002225385
55,1976,California,40,republican,-0.15747634094572383,0.15747634094572383
56,1976,California,41,republican,-0.173457967355198,0.173457967355198
57,1976,California,42,democrat,-0.009896628252486599,0.009896628252486599
58,1976,California,43,republican,-0.10002490161055379,0.10002490161055379
59,1976,Colorado,1,democrat,0.2147383916120035,-0.2147383916120035
60,1976,Colorado,2,democrat,0.2449995421969552,-0.2449995421969552
61,1976,Colorado,3,democrat,0.23006071950328708,-0.23006071950328708
62,1976,Colorado,4,republican,-0.15393542607389443,0.15393542607389443
63,1976,Colorado,5,republican,-0.08568857380888756,0.08568857380888756
64,1976,Connecticut,1,democrat,0.17363912633954753,-0.17363912633954753
65,1976,Connecticut,2,democrat,0.09509912999069801,-0.09509912999069801
66,1976,Connecticut,3,democrat,0.19405842537155896,-0.19405842537155896
67,1976,Connecticut,4,republican,-0.13024369983289708,0.13024369983289708
68,1976,Connecticut,5,republican,-0.08120205686886614,0.08120205686886614
69,1976,Connecticut,6,democrat,0.1817016365925304,-0.1817016365925304
70,1976,Delaware,0,republican,-0.23087732756817073,0.23087732756817073
71,1976,Florida,1,democrat,0.0,0.0
72,1976,Florida,2,democrat,0.0,0.0
73,1976,Florida,3,democrat,0.0,0.0
74,1976,Florida,4,democrat,0.0,0.0
75,1976,Florida,5,republican,-0.1602590876738368,0.1602590876738368
76,1976,Florida,6,republican,-0.09809317107200992,0.09809317107200992
77,1976,Florida,7,democrat,0.09283731402474127,-0.09283731402474127
78,1976,Florida,8,democrat,0.16982498287998024,-0.16982498287998024
79,1976,Florida,9,republican,0.030844087855018878,-0.030844087855018878
80,1976,Florida,10,republican,-0.08676711642967305,0.08676711642967305
81,1976,Florida,11,democrat,-0.4111643174004404,0.4111643174004404
82,1976,Florida,12,republican,-0.21101991199340955,0.21101991199340955
83,1976,Florida,13,democrat,-0.033326898681815674,0.033326898681815674
84,1976,Florida,14,democrat,0.021277955553204806,-0.021277955553204806
85,1976,Florida,15,democrat,0.04576503922012622,-0.04576503922012622
86,1976,Georgia,1,democrat,-0.49917442615851015,0.49917442615851015
87,1976,Georgia,2,democrat,-0.4977297815175057,0.4977297815175057
88,1976,Georgia,3,democrat,-0.1373471486800503,0.1373471486800503
89,1976,Georgia,4,democrat,0.06685996084553812,-0.06685996084553812
90,1976,Georgia,5,democrat,0.08320144658933938,-0.08320144658933938
91,1976,Georgia,6,democrat,0.23288360988102225,-0.23288360988102225
92,1976,Georgia,7,democrat,0.19907003399455567,-0.19907003399455567
93,1976,Georgia,8,democrat,0.05436836526200974,-0.05436836526200974
94,1976,Georgia,9,democrat,-0.04050552118138633,0.04050552118138633
95,1976,Georgia,10,democrat,-0.49914614606173047,0.49914614606173047
96,1976,Hawaii,1,democrat,0.22708608886498743,-0.22708608886498743
97,1976,Hawaii,2,democrat,-0.07095016624065496,0.07095016624065496
98,1976,Idaho,1,republican,-0.20392461323684435,0.20392461323684435
99,1976,Idaho,2,republican,-0.24417409802177728,0.24417409802177728
100,1976,Illinois,1,democrat,-0.17453332167093072,0.17453332167093072
101,1976,Illinois,2,democrat,-0.09676223101739448,0.09676223101739448
102,1976,Illinois,3,democrat,0.15793165788200544,-0.15793165788200544
103,1976,Illinois,4,republican,-0.09211580212043927,0.09211580212043927
104,1976,Illinois,5,democrat,-0.01945619374306863,0.01945619374306863
105,1976,Illinois,6,republican,-0.14402478028938742,0.14402478028938742
106,1976,Illinois,7,democrat,-0.09769535227774896,0.09769535227774896
107,1976,Illinois,8,democrat,-0.05541466130717658,0.05541466130717658
108,1976,Illinois,9,democrat,0.028492511080996312,-0.028492511080996312
109,1976,Illinois,10,democrat,0.24952674145088888,-0.24952674145088888
110,1976,Illinois,11,democrat,0.07606235107227959,-0.07606235107227959
111,1976,Illinois,12,republican,-0.02162639712686943,0.02162639712686943
112,1976,Illinois,13,republican,-0.06752158085057164,0.06752158085057164
113,1976,Illinois,14,republican,-0.005752616362621942,0.005752616362621942
114,1976,Illinois,15,republican,-0.21088965520866737,0.21088965520866737
115,1976,Illinois,16,republican,-0.07081709519509528,0.07081709519509528
116,1976,Illinois,17,republican,-0.16787101587219921,0.16787101587219921
117,1976,Illinois,18,republican,-0.17270881205579008,0.17270881205579008
118,1976,Illinois,19,republican,-0.06501144472173567,0.06501144472173567
119,1976,Illinois,20,republican,-0.11428515174397866,0.11428515174397866
120,1976,Illinois,21,republican,-0.005367185589697612,0.005367185589697612
121,1976,Illinois,22,democrat,0.13566686797692698,-0.13566686797692698
122,1976,Illinois,23,democrat,-0.036271465219899594,0.036271465219899594
123,1976,Illinois,24,democrat,0.07623722966697626,-0.07623722966697626
124,1976,Indiana,1,democrat,0.03694728416641654,-0.03694728416641654
